年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2021,5,1,0,13,臺中市,西區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,5,,6,6,1,2,9,B03,120.66984,24.14119,2
2021,5,1,0,26,臺中市,西區,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,9,5,5,2,17,19,3,10,1,1,B03,7,1,1,8,2,8,,19,19,1,4,5,B03,120.676527,24.137538,2
2021,5,1,1,19,臺中市,西屯區,0,1,0,8,3,5,50,3,1,1,5,4,5,7,4,4,5,4,5,2,16,6,3,10,3,4,B03,7,6,1,8,2,4,,6,6,1,22,8,B03,120.621261,24.186705,2
2021,5,1,1,59,臺中市,中區,0,1,0,8,3,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,16,9,3,10,1,1,B03,7,6,1,8,2,5,,9,9,1,2,9,B03,120.679571,24.147865,2
2021,5,1,2,10,臺中市,西屯區,0,1,0,8,3,5,50,3,1,1,5,4,5,7,2,1,10,5,5,2,16,26,3,10,1,1,B03,7,6,1,8,2,5,,26,26,1,22,8,B03,120.6165,24.182661,2
2021,5,1,2,51,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.651225,24.164741,3
2021,5,1,3,12,臺中市,西屯區,0,1,0,8,3,5,50,4,2,1,5,4,5,7,2,1,5,5,4,2,13,23,3,10,3,4,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.655191,24.164118,2
2021,5,1,4,0,臺中市,北屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,,,,,,C03,,,2,,11,,,43,,1,16,,C03,120.715356,24.163891,3
2021,5,1,4,48,臺中市,東勢區,1,0,0,8,1,5,60,3,9,1,5,4,5,7,3,1,1,3,4,1,3,23,3,10,1,1,B03,7,9,3,18,4,5,,23,23,1,22,9,B03,120.82403,24.258123,1
2021,5,1,5,55,臺中市,太平區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,3,1,9,4,5,1,17,21,2,9,1,1,C03,7,9,6,10,7,11,,21,21,1,4,8,C03,120.731718,24.143605,2
2021,5,1,6,32,臺中市,清水區,0,0,0,8,1,5,40,5,2,1,5,4,5,7,1,1,1,4,1,2,17,38,3,10,1,1,B12,7,13,1,4,10,3,,38,38,1,4,1,B12,120.540448,24.28918,3
2021,5,1,6,56,臺中市,豐原區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,1,1,8,3,4,1,17,10,3,10,3,4,B03,7,11,1,8,2,4,,10,10,1,21,8,B03,120.704588,24.2464,2
2021,5,1,7,12,臺中市,烏日區,0,0,0,8,,,70,,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,23,,1,21,,C03,120.593153,24.112935,3
2021,5,1,7,33,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,1,4,5,2,12,7,3,10,1,1,B03,7,8,1,8,2,2,,7,7,1,22,8,B03,120.656621,24.19841,2
2021,5,1,7,35,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,19,,,,,A41,,,1,,2,,,19,19,1,10,,A41,120.731035,24.162103,3
2021,5,1,7,42,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,,,,,C03,,,1,,3,,,42,42,1,,,C03,120.692525,24.247776,3
2021,5,1,7,47,臺中市,后里區,0,2,0,8,1,5,60,4,1,1,5,4,5,7,4,4,1,4,4,1,12,10,2,9,1,1,B03,7,11,1,8,2,8,,10,10,1,21,8,B03,120.723585,24.313671,2
2021,5,1,7,53,臺中市,西區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,5,5,5,2,16,6,2,9,3,4,C03,7,9,1,10,2,12,,6,6,1,21,8,C03,120.670318,24.135237,2
2021,5,1,8,0,臺中市,太平區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,3,18,2,11,,6,6,1,21,8,C03,120.730355,24.127724,2
2021,5,1,8,14,臺中市,豐原區,0,3,0,8,1,5,30,3,9,1,5,4,5,7,4,4,10,5,5,1,17,6,2,9,1,1,C03,7,6,3,18,2,14,,6,6,1,4,1,C03,120.730286,24.267058,2
2021,5,1,8,15,臺中市,南區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,2,8,1,1,C03,7,9,1,10,2,14,,6,6,1,4,8,C03,120.667278,24.125343,2
2021,5,1,8,18,臺中市,大里區,0,2,0,8,1,5,50,5,1,1,5,4,5,7,1,1,10,5,5,2,16,25,2,9,3,4,C03,7,5,1,10,2,12,,25,25,1,22,8,C03,120.689945,24.112595,2
2021,5,1,8,21,臺中市,豐原區,0,0,0,8,,,60,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,26,,1,22,,B03,120.730089,24.265324,3
2021,5,1,8,22,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,23,,1,,,B03,120.676952,24.156232,3
2021,5,1,8,30,臺中市,后里區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,3,12,3,10,1,1,C03,7,2,1,10,2,13,,12,12,1,22,8,C03,120.712577,24.306761,2
2021,5,1,8,34,臺中市,太平區,0,0,0,8,,,40,,,,,,,,,,,,,,,,,,,,,,,7,,11,,,67,,1,,,,120.714618,24.153246,3
2021,5,1,8,47,臺中市,北區,0,1,0,8,1,5,40,3,2,1,5,4,5,7,1,1,10,5,5,2,13,23,2,8,1,1,C03,7,9,1,10,2,14,,23,23,1,22,8,C03,120.68881,24.153572,2
2021,5,1,8,49,臺中市,西屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,,,B03,120.661096,24.165779,3
2021,5,1,8,50,臺中市,梧棲區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,10,5,5,1,3,13,2,7,1,1,C03,7,9,1,10,2,11,,13,13,1,12,8,C03,120.531842,24.254251,2
2021,5,1,8,58,臺中市,西區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,1,1,10,5,5,2,17,44,2,8,1,1,C03,7,1,1,10,2,14,,44,44,1,5,1,C03,120.66164,24.134317,2
2021,5,1,9,0,臺中市,北屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,18,,,,,B03,,,1,,1,,,18,18,1,21,,B03,120.741152,24.177497,3
2021,5,1,9,0,臺中市,神岡區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,25,2,9,4,5,F01,7,5,8,20,2,16,,25,25,1,14,5,F01,120.696679,24.254085,2
2021,5,1,9,3,臺中市,豐原區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,16,6,2,9,3,4,C03,7,6,1,10,2,12,,6,6,1,22,8,C03,120.722168,24.275713,2
2021,5,1,9,10,臺中市,清水區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,4,2,15,25,3,10,1,1,B03,7,9,1,7,2,5,,25,25,1,5,8,B03,120.555168,24.272589,2
2021,5,1,9,33,臺中市,西區,0,2,0,8,1,5,50,14,8,1,5,4,5,7,4,4,5,5,4,2,17,23,2,9,1,1,C03,7,9,1,10,2,12,,23,23,1,21,8,C03,120.662639,24.155702,2
2021,5,1,9,58,臺中市,梧棲區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,19,3,10,1,1,B03,7,1,1,8,2,8,,19,19,1,12,8,B03,120.539295,24.244909,2
2021,5,1,10,2,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,26,,1,4,,B03,120.710411,24.236894,3
2021,5,1,10,7,臺中市,西屯區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,1,13,23,2,9,1,1,C03,7,9,1,10,1,11,,23,23,1,22,9,C03,120.650586,24.176118,2
2021,5,1,10,10,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.677402,24.159306,3
2021,5,1,10,14,臺中市,豐原區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,17,3,10,1,1,B03,7,9,1,8,2,5,,17,17,1,22,9,B03,120.720042,24.262177,2
2021,5,1,10,21,臺中市,北屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,,,,,,B12,,,3,,1,,,16,,1,5,,B12,120.692248,24.169053,3
2021,5,1,10,25,臺中市,沙鹿區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,29,65,2,9,1,1,C03,7,9,1,10,2,11,,43,65,1,9,8,C03,120.570695,24.222932,2
2021,5,1,10,26,臺中市,霧峰區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,5,2,5,1,16,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.683084,24.050405,2
2021,5,1,10,27,臺中市,西屯區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,1,1,1,2,5,2,15,43,2,3,3,4,B03,7,9,1,8,2,1,,43,43,1,22,9,B03,120.656041,24.200563,2
2021,5,1,10,27,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,37,,1,,,B12,120.620646,24.180405,3
2021,5,1,10,43,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,23,1,22,,B03,120.749258,24.267983,3
2021,5,1,11,0,臺中市,南區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,2,,6,6,1,4,8,B03,120.668773,24.128776,2
2021,5,1,11,0,臺中市,太平區,0,0,0,8,,,40,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,,,B03,120.716666,24.151111,3
2021,5,1,11,0,臺中市,后里區,0,0,0,8,,,60,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,,1,4,,B03,120.722378,24.309033,4
2021,5,1,11,2,臺中市,西區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,1,,6,6,1,5,7,B03,120.668104,24.141275,2
2021,5,1,11,5,臺中市,東區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,17,43,3,10,3,4,B03,7,9,1,8,2,1,,43,43,1,5,8,B03,120.689738,24.146208,2
2021,5,1,11,6,臺中市,豐原區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,1,1,5,4,4,2,16,26,3,10,3,4,B03,7,5,1,8,2,4,,26,26,1,22,8,B03,120.705975,24.254409,2
2021,5,1,11,11,臺中市,烏日區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,15,25,2,8,1,1,C03,7,9,1,10,2,11,,25,25,1,12,8,C03,120.643218,24.076993,2
2021,5,1,11,15,臺中市,潭子區,0,0,0,8,,,40,,,,,,,,,,,,,,,19,,,,,B03,,,1,,2,,,19,19,1,22,,B03,120.700398,24.213386,3
2021,5,1,11,24,臺中市,潭子區,0,1,0,7,1,5,40,3,1,1,5,4,5,7,2,1,10,5,4,2,16,43,4,11,3,4,,7,21,7,19,11,15,,43,43,2,22,9,,120.700966,24.209715,2
2021,5,1,11,25,臺中市,豐原區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,4,4,4,2,17,6,3,10,1,1,C03,7,1,1,10,2,12,,6,6,1,18,5,C03,120.716574,24.251916,2
2021,5,1,11,30,臺中市,西屯區,0,0,0,8,,,60,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.655438,24.159868,3
2021,5,1,11,33,臺中市,西區,0,0,0,8,1,5,50,14,9,1,5,4,5,7,4,4,1,5,5,2,12,17,,,,,B02,,,1,,2,,,17,17,1,21,,B02,120.654259,24.150955,3
2021,5,1,11,33,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,23,,1,,,B03,120.680834,24.163289,3
2021,5,1,11,39,臺中市,東勢區,0,0,0,8,,,30,,,,,,,,,,,,,,,6,,,,,B03,,,1,,2,,,6,6,1,5,,B03,120.835267,24.226968,3
2021,5,1,11,41,臺中市,西屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,4,2,16,6,3,10,3,4,B03,7,5,1,8,2,5,,6,6,1,21,8,B03,120.611675,24.186914,2
2021,5,1,11,44,臺中市,太平區,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,5,,B03,120.710252,24.150651,3
2021,5,1,11,45,臺中市,北屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,12,43,3,10,1,1,B03,7,9,1,8,2,2,,43,43,1,5,8,B03,120.744055,24.185495,2
2021,5,1,11,48,臺中市,豐原區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,18,42,2,9,1,1,C03,7,5,1,10,2,14,,42,42,1,22,8,C03,120.723751,24.255866,2
2021,5,1,11,50,臺中市,沙鹿區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,23,,1,20,,B03,120.563054,24.236201,3
2021,5,1,11,55,臺中市,東區,0,0,0,8,,,50,,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,12,,1,4,,B03,120.697906,24.141161,3
2021,5,1,12,2,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,43,,,,,F01,,,8,,1,,,43,43,1,22,,F01,120.68537,24.171981,3
